Old,New
[I.K.S. Hegh],I.K.S. Hegh
[U.S.S. Rhode Island],U.S.S. Rhode Island
Temporal Dreadnought [T6],Temporal Dreadnought Cruiser [T6]
Breen Chel Grett Warship (T6),Breen Chel Boalg Warship (T6)
Pathfinder Long Range Sci Vessel (T6),Pathfinder Long Range Science Vessel (T6)
QeHpu’ Advanced Light Battlecruiser (T6),QeHpu' Advanced Light Battlecruiser (T6)
Fleet QeHpu’ Advanced Light Battlecruiser (T6),Fleet QeHpu' Advanced Light Battlecruiser (T6)
Mur’Eq Operations Miracle Worker Cruiser (T6),Mur'Eq Operations Miracle Worker Cruiser (T6)
Naj’sov Research Vessel (T6),Naj'sov Research Vessel (T6)
Qul’poH Temporal Science Vessel (T6),Qul'poH Temporal Science Vessel (T6)
Chargh’poH Temporal Destroyer (T6),Chargh'poH Temporal Destroyer (T6)
T’liss Temporal Warbird (T6),T'liss Temporal Warbird (T6)
Tal’aura Temporal Destroyer (T6),Tal'aura Temporal Destroyer (T6)
Quark’s Triumph,Quark's Triumph
Son’a Intel Battlecruiser (T6),Son'a Intel Battlecruiser (T6)
Kelvin Timeline T’laru Intel Carrier Warbird (T6),Kelvin Timeline T'laru Intel Carrier Warbird (T6)
Lukari Ho’kuun Science Vessel (T6),Lukari Ho'kuun Science Vessel (T6)
Son’a Collector Science Dreadnought (T6),Son'a Collector Science Dreadnought (T6)
Son’a Command Science Vessel (T6),Son'a Command Science Vessel (T6)
Amarie-class Smuggler’s Heavy Escort (T6),Amarie-class Smuggler's Heavy Escort (T6)
Jem’Hadar Dreadnought Carrier (T6),Jem'Hadar Dreadnought Carrier (T6)
Vorgon Ryn’kodan Carrier (T6),Vorgon Ryn'kodan Carrier (T6)
Vorgon Ytijara Dreadnought Cruiser,Vorgon Ytijara Dreadnought Cruiser [T6]
Paradox Temporal Dreadnought (T6),Mirror Temporal Dreadnought [T6]
Pathfinder Long Range Science Vessel (T6),Long Range Science Vessel (T6)
Varanus Fleet Support Vessel,Fleet Varanus Support Vessel
Miracle Worker Flight-Deck Cruiser [T6],Miracle Worker Flight Deck Carrier [T6]
D7 Miracle Worker Flight-Deck Cruiser [T6],Miracle Worker Flight Deck Carrier [T6]
Herald Quas Flight Deck Cruiser (T6),Herald Quas Flight Deck Carrier [T6]
Cardassian Intel Flight-Deck Cruiser [T6],Cardassian Intel Flight Deck Carrier [T6]
Orion Blackguard Flight-Deck Assault Cruiser [T6],Orion Blackguard Flight Deck Assault Carrier [T6]
Suliban Silik Flight-Deck Assault Cruiser [T6],Suliban Silik Flight Deck Assault Carrier [T6]
Tellarite Pralim Flight-Deck Assault Cruiser [T6],Tellarite Pralim Flight Deck Assault Carrier [T6]
Fleet Orion Blackguard Flight-Deck Assault Cruiser [T6],Fleet Orion Blackguard Flight Deck Assault Carrier [T6]
Fleet Suliban Silik Flight-Deck Assault Cruiser [T6],Fleet Suliban Silik Flight Deck Assault Carrier [T6]
Fleet Tellarite Pralim Flight-Deck Assault Cruiser [T6],Fleet Tellarite Pralim Flight Deck Assault Carrier [T6]
Voth Bastion Flight-Deck Cruiser,Voth Bastion Flight Deck Carrier
Fleet Corsair Flight Deck Cruiser Retrofit,Fleet Corsair Flight Deck Carrier Retrofit
Corsair Flight Deck Cruiser Retrofit,Corsair Flight Deck Carrier Retrofit
Corsair Flight Deck Cruiser,Corsair Flight Deck Carrier
Marauder Flight Deck Cruiser,Marauder Flight Deck Carrier
Dacoit Flight Deck Cruiser,Dacoit Flight Deck Carrier
Mirror Escort Carrier [T6],Mirror Strike Wing Escort [T6]
Hur'q Ravager Escort Carrier [T6],Hur'q Ravager Strike Wing Escort [T6]
Xindi-Insectoid Olaen Heavy Escort Carrier (T6),Xindi-Insectoid Olaen Heavy Strike Wing Escort [T6]
Jem'Hadar Heavy Escort Carrier [T6],Jem'Hadar Heavy Strike Wing Escort [T6]
Jem'Hadar Heavy Escort Carrier,Jem'Hadar Heavy Strike Wing Escort
Fleet Heavy Escort Carrier (T6),Fleet Heavy Strike Wing Escort [T6]
Heavy Escort Carrier (T6),Heavy Strike Wing Escort [T6]
Fleet Heavy Escort Carrier,Fleet Heavy Strike Wing Escort
Heavy Escort Carrier,Heavy Strike Wing Escort
Ar'kif Tactical Carrier Warbird,Ar'kif Tactical Carrier Warbird Retrofit
Fek'Ihri Warship [T6],Fek'ihri S'torr Warship [T6]
